character,games,turns,first_actual_year,last_actual_year,community,top_partners
Danch,2,4,2006,2006,5,Baltor (2); Bohann (2); Christel (2); Iversonn (2); Leonhart (2); Rhyannor (2); Riukkiu (2); Roswald (2)
Danek,3,29,2008,2008,1,Alerik (2); Lilithas (2); Loxis (1); Nohel (1); Selen (1); Valll (1); Mogan (1); Siulefh (1)
Danken,3,39,2008,2008,1,Dajemona (3); Fortescue (3); Nau (2); Ethuil (1); Alcalime (1); Daerithas (1); Loxis (1); merlinho (1); Skan (1)
Danyel,4,34,2009,2009,7,Arioch (2); Dajemona (2); Elegost (2); Guineth (2); Vhelia (2); Lulu (1); Matthew (1); Monfort (1); Skan (1); Uranos (1); Ailin (1); Elron (1); Fortescue (1)
Danyfer,2,12,2004,2004,4,Aglae (2); Aneesha (2); charis (2); Esgaloth (2); Ester (2); Finarfin (2); Istar (2); Lucrezia (2); Mynoth (2); Silmarien (2); Ylerei (2)
Dareh,16,105,2008,2026,0,Izayoi (6); Euridas (5); SiannaLeFair (5); Francislake (4); Urwen (4); Mihawk (3); Thorck (2); Keleldur (2); Lilithas (2); Tarik (2); Theon (2); Maynard (2); Delios (2); Elimar (2); Khael (2)
Dareon,16,128,2008,2010,0,Theon (5); Jago (4); Elyen (4); Kyle (3); Dadox (3); Jeanne (3); Malvenis (3); Ramel (3); Thorck (3); Aisha (2); Emhir (2); Maximilian (2); Alyon (2); Bauster (2); Dominique (2)
Dargen,9,141,2007,2008,1,Aranel (3); merlinho (3); Ylerei (3); Ailin (2); Loxis (2); Bauster (2); Catlyn (2); Growyn (2); Skan (2); Aslanner (2); Dajemona (2); Cleff (1); Dahud (1); Deard (1); Heleg (1)
Dargh,3,16,2010,2025,0,Carcinero (2); Ada (1); Akuma (1); Amlach (1); Cerden (1); Ramoth (1); Sekmeth (1); Vhelia (1); Zamir (1); Alistair (1); Cochise (1); Dibbe (1); Euridas (1); Francislake (1); Hendryu (1)
Darken,2,13,2006,2006,5,Alicia (1); Ascaron (1); Asgard (1); Asmira (1); Dalila (1); Desdemona (1); Eufrasia (1); Imloth (1); Kiol (1); merlinho (1); Orghan (1); Zabusa (1); Daarigraz (1); Devolt (1); Enrick (1)
DarkEyes,12,125,2004,2013,4,Steel (8); Darktruecoby (4); Donegal (4); Ebenezer (4); Lamhia (4); Malduin (4); Nyden (4); charis (3); Dehro (3); Esgaloth (3); Loriel (3); Pannha (3); Sultha (3); Thanatos (3); Yaran (3)
Darkonis,1,5,2008,2008,1,Axia (1); Barek (1); Fortescue (1); Nimoe (1); Philippe (1)
Darktruecoby,4,52,2004,2006,2,DarkEyes (4); Donegal (4); Ebenezer (4); Lamhia (4); Malduin (4); Nyden (4); Steel (4)
DartWarren,3,28,2004,2005,4,Dibbe (2); merlinho (2); Miroth (2); Morganas (2); Anarion (1); Dakkon (1); Erhu (1); FireStorm (1); Mashnara (1); Miticus (1); Mitsui (1); Soraya (1); Vahn (1); Xalira (1)
dattina,1,9,2002,2002,3,Cornelia (1); Demon (1); Faelya (1)
Davidh,1,10,2008,2008,1,Guliem (1); Hennet (1); Loxis (1); Ylerei (1)
Dazed,6,101,2008,2009,2,Lilithas (5); Goran (3); Alerik (3); Leivin (2); Christof (2); Elanoer (2); Eris (2); Field (2); Francislake (2); Ireth (2); Jeal (2); Khael (2); Mardok (2); Mogan (2); Ragetti (2)
Deard,1,9,2008,2008,1,Aranel (1); Cleff (1); Dahud (1); Dargen (1); Heleg (1); Loxis (1); merlinho (1); Mossflower (1); Perse (1)
deargh,11,108,2004,2007,4,Loriel (6); merlinho (5); Midhriel (5); Alsen (4); Anarion (4); Arwiel (4); Asgard (4); Cleryon (4); Hamild (4); Kahzar (4); Krimgor (4); Teclis (4); Tyreal (4); Unicorn (4); Ireth (3)
Dehro,23,357,2004,2008,4,Anthony (8); Wonderela (7); Rhyannor (7); Sultha (7); Tremain (5); Francis (5); Vahn (5); Loriel (4); Ylerei (4); charis (3); Cloud (3); DarkEyes (3); Esgaloth (3); Pannha (3); Thanatos (3)
Delereth,4,29,2008,2009,1,Dajemona (4); Voltan (3); Skan (3); Alucadde (2); Asgard (2); Aslanner (2); Bauster (2); Elimar (2); Fortescue (2); Heremidas (2); Jeanne (2); Theon (2); Ages (1); Daerithas (1); Elsah (1)
Delfeld,4,28,2007,2007,1,Asgard (3); Feagost (3); Ylerei (3); Norman (2); merlinho (2); Heri (1); Vahn (1); Arphenix (1); Azeton (1); Balthazar (1); Blancks (1); Desdemona (1); Elyanth (1); Gaart (1); Han (1)
Delios,6,43,2013,2013,0,Izayoi (6); Dareh (2); Lenian (2); Rephexia (2); Slythrott (2); Khalux (2); Freyja (1); Zaranzargul (1); Ada (1); Arioch (1); Cosme (1); Demios (1); Doflamingo (1); Elimar (1); Ghassan (1)
Delroh,1,2,2004,2004,3,Arakan (1); Zanner (1)
Demios,24,150,2010,2026,0,Rephexia (5); Rivka (3); Izayoi (3); Bill (3); Keleldur (2); Maximilian (2); Tyrion (2); Arioch (2); Lenian (2); Ramel (2); Steel (2); Lucretia (2); Alphonso (2); SiannaLeFair (2); Urwen (2)
Demon,1,1,2002,2002,3,Cornelia (1); dattina (1); Faelya (1)
Denia,1,17,2006,2006,5,Artemys (1); Bohann (1); Elettra (1); Ismael (1); Iversonn (1); Krauser (1); Leunam (1)
Deniels,11,68,2013,2014,0,Arphenix (4); Claymore (3); Khalux (3); Arioch (3); Elimar (3); Ariel (3); Erebo (2); Tarik (2); Krois (2); Nienor (2); Domino (1); Laira (1); Necronomic (1); Relenan (1); Alyosha (1)
Dennart,1,4,2004,2004,8,Drako (1); Edalet (1); Elric (1); Faragor (1); Kerberos (1); Razheem (1)
Denyel,4,19,2019,2020,0,Elyen (3); Enrick (3); Moradin (3); Rivka (2); Elanoer (1); Elimar (1); Herick (1); Khalux (1); Mikitaton (1); Hawn (1); Lyath (1); Alerik (1); Carcan (1); Lucretia (1); Akuma (1)
Dercatur,3,27,2004,2005,4,Ireth (3); Loriel (3); Teclis (3); Unicorn (3); Alsen (2); Anarion (2); Arwiel (2); Asgard (2); Cleryon (2); deargh (2); Hamild (2); Kahzar (2); Krimgor (2); Loki (2); merlinho (2)
Derik,2,8,2007,2007,2,Achitia (2); Adema (2); Euridas (2); Field (2); Ireth (2); Stige (2); Zaharil (2)
Dermil,1,14,2009,2009,0,Aisha (1); Manwe (1)
Desdemona,32,395,2006,2008,1,Asgard (19); Ylerei (13); Voltan (7); Silvereth (6); Gwayne (5); Kiol (5); Enrick (4); Nyden (4); Daerithas (4); Alsen (3); Bauster (3); Arphenix (3); Elyanth (3); Sylvimar (3); merlinho (3)
Devan,1,16,2006,2006,2,Elrik (1); Krellem (1); Nathan (1)
Deving,1,3,2006,2006,6,Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Kenny (1); Lalique (1)
Devolt,2,13,2007,2007,2,Arija (1); Blancks (1); Gerith (1); Gwayne (1); Mekylius (1); Vahn (1); Daarigraz (1); Darken (1); Enrick (1); Enrok (1); Galamir (1); Nordus (1); Qastekh (1); Seyfer (1)
Dexane,1,9,2026,2026,3,Alerik (1); Euridas (1); Mihawk (1); Vahn (1)
Dhac,15,138,2008,2009,1,Hennet (3); Skan (3); Arendhil (2); Makarius (2); Valll (2); Growyn (1); Cloud (1); Lawrence (1); Orestur (1); Boob (1); Elimar (1); Melquiades (1); Kiol (1); Kyra (1); Ylerei (1)
Dheron,1,1,2009,2009,0,Ailin (1); Clemorat (1); Norman (1)
Dibbe,18,325,2004,2013,4,Miroth (8); merlinho (7); DartWarren (2); Morganas (2); Midhriel (2); Enarius (2); Jeff (2); Kiol (2); Laurent (2); Mendar (2); Raistlin (2); Carcinero (2); Charennor (1); Vahn (1); Han (1)
Dierna,1,13,2007,2007,1,Ailin (1); Skan (1)
Dileandro,2,2,2006,2006,6,Ariel (2); merlinho (2); Fefalas (1); Jedhal (1); Shimal (1); Valen (1); Aouda (1); Arphenix (1); Arwin (1); Caila (1); Cortex (1); Daine (1); Elingard (1); Emelaine (1); Ervine (1)
Dis,1,15,2005,2005,3,Ascot (1); Blanko (1); Gween (1); Onizuka (1); Orchideae (1)
Distrok,1,7,2006,2006,3,Corwin (1); Enrick (1); Gwayne (1); Jarl (1); Mekylius (1); Vahn (1)
Dofa,4,32,2007,2007,1,Loxis (3); Thanya (2); Alcalime (2); Aranel (2); Fefalas (2); Marian (2); merlinho (2); Rhoan (2); Risindal (2); Sebastian (2); Selein (2); Anadyr (1); Andrej (1); Anduriel (1); Arkaon (1)
Doflamingo,3,18,2013,2013,0,Elimar (3); Khalux (3); Arioch (2); Ramel (2); Slythrott (2); Thalion (2); Ada (1); Cosme (1); Dareh (1); Delios (1); Demios (1); Ghassan (1); Izayoi (1); Kazuya (1); Khael (1)
Domenique,3,16,2014,2014,0,Francislake (3); Nymeria (2); Adanriel (1); Alester (1); Claymore (1); Coral (1); Eadril (1); Erebo (1); Freja (1); Izayoi (1); Thorck (1); Vahn (1); Gottardo (1); Rago (1); Elimar (1)
Dominique,5,54,2006,2009,0,Bauster (3); Kiol (2); Alyon (2); Dadox (2); Dareon (2); Elyen (2); Emile (2); Eventine (2); Fek (2); Helajartie (2); Jago (2); Jeanne (2); Jun (2); Lancel (2); Malvenis (2)
Domino,14,229,2012,2013,0,Arioch (8); Arles (6); Alistair (2); Claymore (2); Jago (2); Ecate (1); Euridas (1); Francislake (1); Huga (1); merlinho (1); Sterling (1); Kazuya (1); Rephexia (1); Slythrott (1); Steel (1)
Done,1,4,2006,2006,5,Aribethe (1); Bluetue (1); Ismael (1); merlinho (1); Midhriel (1); Wonderela (1)
Donegal,4,23,2004,2006,2,DarkEyes (4); Darktruecoby (4); Ebenezer (4); Lamhia (4); Malduin (4); Nyden (4); Steel (4)
Dorck,1,2,,,1,Aranel (1); Dreadis (1); Khiber (1); Loriely (1); merlinho (1); Rhoan (1)
Dorocleo,2,21,2006,2006,2,Adon (2); Ylerei (1); Elyanth (1)
Dracnasigma,1,5,2006,2006,10,Meggott (1)
Dragnef,3,9,2006,2006,5,Alcalime (3); Ascaron (3); Baltor (3); Bardock (3); Bleid (3); Elettra (3); Ermengarda (3); Frade (3); Matteinus (3); merlinho (3); Naiiky (3); Paine (3); Riukkiu (3); Rodney (3); Sanjae (3)
Drak,18,233,2005,2019,4,Miroth (8); merlinho (6); Vahn (5); Midhriel (4); Kahzar (3); Malduin (3); Isil (3); Morganas (2); Yurian (2); Anarion (1); Ayden (1); Eldarin (1); Vorador (1); Asgard (1); Ezequiel (1)
Drako,1,3,2004,2004,8,Dennart (1); Edalet (1); Elric (1); Faragor (1); Kerberos (1); Razheem (1)
Drakox,1,13,2005,2005,3,Christof (1); Hamild (1); Ianne (1); Ireth (1); Isabelle (1); Maseeri (1); Mirael (1); Vahn (1)
Dreadis,6,60,2007,2008,1,Rhyannor (3); Desdemona (2); merlinho (2); Growyn (2); Aranel (2); Ylerei (1); Voltan (1); Asgard (1); Bauster (1); Caillean (1); Catlyn (1); Keric (1); Likos (1); Dorck (1); Khiber (1)
Drehimo,3,26,2008,2008,2,Anarion (3); Aranel (1); Emile (1); Lancel (1); merlinho (1); Zanner (1); Azhal (1); Catlyn (1); Medrion (1); Tathor (1); Valen (1); Lorenne (1)
Drejn,2,18,2007,2008,13,
Druelyn,4,51,2006,2006,4,Beatrix (3); Bill (3); Ellenroh (3); Erol (3); Francis (3); Jeanne (3); Jill (3); Kanon (3); Loki (3); Loriel (3); Malduin (3); Merenwen (3); Oltar (3); Ratav (3); Sealyan (3)
Druid,1,1,2009,2009,1,Celine (1); Dadox (1); Moradin (1); Nicodemus (1)
Drusius,4,29,2004,2008,4,Rhyannor (3); Edgewood (2); Anya (1); Artemisio (1); Elwë (1); Lenian (1); Ombra (1); Onizuka (1); SiannaLeFair (1); Yanur (1); Cloud (1); GaretJax (1); Malduin (1); Alsen (1); Daga (1)
Druzya,1,1,2007,2007,5,Clery (1); Maximilian (1)
Ducan,12,184,2006,2007,5,Eufrasia (6); Francislake (5); Mirael (5); Durandal (4); Guy (4); Hikliff (4); Ireth (4); Manadriel (4); Nyden (4); Ramel (4); Euridas (4); Tieryn (3); Adema (3); Axia (3); Manfris (3)
Duhat,2,8,2008,2008,1,Giosia (2); Herywen (2); Skan (2)
Dumba,1,7,2006,2006,4,Aki (1); Ananke (1); Ermengarda (1); Floidua (1); Merenwen (1); Oltar (1); Shimal (1); Spidy (1)
Durandal,5,52,2007,2007,5,Ducan (4); Eufrasia (4); Hikliff (4); Mirael (4); Francislake (3); Guy (3); Ireth (3); Manadriel (3); Nyden (3); Ramel (3); Adema (1); Axia (1); Elyanth (1); Euridas (1); Manfris (1)
Durovh,1,3,2007,2007,1,Ailin (1); Alcalime (1); merlinho (1); Skan (1)
Duxaw,1,4,2006,2006,2,Enrick (1)
Dvalin,1,3,2007,2007,1,Ailin (1); Alcalime (1); Aranel (1); Balthazar (1); Kiol (1); Lecsus (1); Lizelin (1); merlinho (1); Salazar (1); Seja (1); Taurles (1); Vanilor (1)
Dyuraken,6,12,2025,2025,0,Arioch (4); Elimar (4); Euridas (4); Adema (3); Bolvar (3); Gamuran (3); Meredith (3); Zhugord (2); Francislake (2); Nat (2); Fortescue (1); Morpheus (1); Mihawk (1); Khalux (1); Melwen (1)
Eadril,1,7,2014,2014,0,Adanriel (1); Alester (1); Claymore (1); Coral (1); Domenique (1); Erebo (1); Francislake (1); Freja (1); Izayoi (1); Nymeria (1); Thorck (1); Vahn (1)
Earenya,2,16,2006,2008,1,Emyride (1); Tatoz (1); Baltor (1); Loxis (1)
Ebenezer,4,28,2004,2006,2,DarkEyes (4); Darktruecoby (4); Donegal (4); Lamhia (4); Malduin (4); Nyden (4); Steel (4)
Ecate,2,35,2012,2013,0,Alistair (2); Euridas (2); Francislake (2); Katon (1); Tyrande (1); Arles (1); Claymore (1); Domino (1); Huga (1); merlinho (1); Sterling (1)
Eclipse,1,14,2009,2009,0,Leena (1); Thorck (1)
Eclis,1,7,2008,2008,1,Ailin (1); Alcalime (1); Anthony (1); Aranel (1); Ariel (1); Arphenix (1); Elimar (1); Elyanth (1); Klask (1); Kushluk (1); Sumiree (1)
Ecthelion,1,4,2006,2006,5,Benjamin (1); Elanoer (1); Isil (1)
Edalet,1,7,2004,2004,8,Dennart (1); Drako (1); Elric (1); Faragor (1); Kerberos (1); Razheem (1)
Edea,1,4,2006,2006,2,Gwayne (1); Isil (1); Learn (1)
Eden,2,10,2007,2007,4,Asgard (2); Eorinan (2); Hisphanico (2); Kolcas (2); Loki (2); Malduin (2); Raxiel (2)
Edgewood,7,93,2004,2007,4,Rhyannor (6); Vahn (4); Malduin (3); Alastor (2); Ayla (2); Conner (2); Eorinan (2); Gween (2); Keylan (2); Loki (2); Maseeri (2); Midhriel (2); Morganas (2); Rurik (2); Soraya (2)
Edmund,2,3,2007,2007,5,Loxis (2); Midhriel (2); Saarhen (2); Andrex (1); Clery (1); Elina (1); Galdar (1); Lukas (1); merlinho (1); Natan (1); Tinuviel (1); Ellenroh (1); Fate (1); Iphigenia (1); Kairi (1)
Edmure,1,3,2005,2005,3,Alerik (1); Corwin (1); Galyvan (1); Melisandre (1); Vahn (1); Volrath (1); Zaharil (1)
Edric,8,62,2009,2009,0,Ailin (3); Francislake (2); Malvenis (2); Bill (2); Gruk (2); Rephexia (2); Alatriel (1); Elegost (1); Vhelia (1); Thorin (1); Alyon (1); Bauster (1); Dadox (1); Dareon (1); Dominique (1)
Eduard,1,2,2007,2007,2,Ducan (1); Gawyn (1); Jan (1); merlinho (1)
Edwar,25,226,2008,2025,0,Manwe (7); Tony (3); Bill (3); Adrienne (3); Kruvenz (3); Dajemona (2); Nichole (2); Nau (2); Hennet (2); May (2); Fortescue (2); Elyen (2); Emeth (2); Loxis (1); Buiacca (1)
Edzevhal,1,5,,,0,Calewiewien (1); Dadox (1); Kiol (1); Lenian (1); Nyden (1); Thorek (1)
Efe,1,5,2006,2006,6,Dibbe (1); Evil (1); Fortesque (1); Loriel (1); Luxer (1); merlinho (1); Natan (1); Phage (1); Sealyan (1); Shimal (1); Veris (1); Zamir (1); Zingrid (1)
Efleion,1,2,2007,2007,5,Eufrasia (1)
Egide,1,8,2012,2012,0,Arioch (1); Burrasca (1); Elyen (1); Fagin (1); Jude (1); Mekylius (1); Tarik (1); Vahn (1)
Eiko,11,108,2004,2018,1,Rhyannor (3); merlinho (3); Kirdest (2); Monfort (2); Eshtar (1); faroth (1); Feredil (1); Lenian (1); Malaeth (1); Stoneaxe (1); ThamiorLothain (1); Unicorn (1); william (1); Miroken (1); Ailin (1)
Einar,2,14,2009,2009,6,Rauras (2); Camadini (1); Christof (1); Haimerick (1); Inigo (1)
Einkil,1,12,,,2,Elrik (1)
Eithel,14,111,2004,2007,4,Malduin (11); Miroth (5); Valandelian (5); Cloud (4); Eorinan (4); Ella (3); Eyona (3); GaretJax (3); Imrahil (3); Loke (3); Loki (3); Wiliand (3); Eldur (3); Levesque (3); Owyn (2)
Elanoer,32,341,2006,2026,3,Suey (6); Francislake (6); Vahn (6); Elimar (5); Vosthyl (5); Mirodek (5); Arioch (4); Maseeri (4); Isil (3); Christof (3); Goran (3); Lilithas (3); Mogan (3); Ireth (3); Someryn (3)
Elariell,17,94,2006,2009,2,Anarion (11); Dadox (6); Maximilian (6); Galamir (3); Thorck (3); Khael (3); Mardok (3); Cairbre (2); Monfort (2); Euridas (2); Ghilbli (2); Ireth (2); Vein (2); Jeko (2); Elyer (2)
Elbereth,1,7,2009,2009,7,Alcarinque (1); Elegost (1); Guineth (1); merlinho (1); Stige (1)
Eldarin,1,8,2005,2005,4,Anarion (1); Ayden (1); Drak (1); Kahzar (1); Malduin (1); Miroth (1); Morganas (1)
Eldor,1,7,2008,2008,1,Ailin (1); Alcalime (1); Arendhil (1); Fortescue (1); Geror (1); Harad (1); Heleg (1); Hennet (1); Loxis (1); Malwin (1); Rhoan (1)
Eldur,6,96,2004,2005,4,Malduin (6); Eithel (3); Levesque (3); Kazuya (3); Stige (3)
Elegost,12,94,2009,2009,7,Stige (5); Vhelia (5); Guineth (4); Alcarinque (3); merlinho (3); Brianna (3); Skan (3); Alatriel (3); Dajemona (2); Danyel (2); Adema (2); Malantio (2); Tyrus (2); Alexander (1); Malakay (1)
Elensi,1,2,2008,2008,2,Seyfer (1); Tyrion (1)
Elestil,1,17,2007,2007,4,Alsen (1); Daga (1); Drusius (1); Erylit (1); Ethamos (1); Guineth (1); Loras (1); Minas (1); Nicole (1); Rhyannor (1); Robert (1); Sehmai (1); Seth (1); Sholtz (1); Thiresh (1)
Elettra,4,14,2006,2006,5,Alcalime (3); Ascaron (3); Baltor (3); Bardock (3); Bleid (3); Dragnef (3); Ermengarda (3); Frade (3); Matteinus (3); merlinho (3); Naiiky (3); Paine (3); Riukkiu (3); Rodney (3); Sanjae (3)
Elia,1,7,,,0,Izayoi (1); Slythrott (1)
Elimar,89,684,2006,2025,0,Arioch (31); Khalux (18); Izayoi (10); Euridas (10); Francislake (9); Aranel (8); merlinho (8); Thalion (8); Meredith (8); Ariel (7); Arphenix (7); Ailin (7); Andrey (7); Rephexia (7); Laurens (7)
Elina,9,103,2006,2007,5,Andrex (6); Gudegar (4); Jas (4); Lizelin (4); Manadriel (4); Myrddinwyllt (4); Ratav (4); merlinho (3); Kerixon (2); Loxis (2); Clery (2); Tinuviel (2); Velgarn (1); Daarigraz (1); Kamilah (1)
Elingard,2,2,2006,2008,6,Aouda (1); Ariel (1); Arphenix (1); Arwin (1); Caila (1); Cortex (1); Daine (1); Dileandro (1); Emelaine (1); Ervine (1); Faolin (1); Ferarius (1); Gatsu (1); Lynzi (1); merlinho (1)
Elion,3,36,2007,2007,2,Desdemona (3); Gwayne (3); Nyden (3); Radamantis (3)
Elisabeth,1,5,2006,2006,2,Jsau (1); Melwen (1); Wonderela (1)
Elisil,2,20,2007,2008,1,Afnor (2); Ago (1); Axia (1); Fortescue (1); Loto (1); Mankok (1); Phemt (1); Saval (1); Sehmeola (1); Subber (1); Aranel (1); Cathein (1); Geror (1); Heleg (1); Loxis (1)
Ella,7,90,2004,2007,4,Loki (7); Malduin (7); Cloud (6); Wiliand (6); Xebox (4); Eithel (3); Eorinan (3); Eyona (3); GaretJax (3); Imrahil (3); Loke (3); Ariendehel (3); Gween (3); Keleldur (3); Kelen (3)
Elladan,13,100,2014,2014,0,Morgoth (9); Essedil (8); Aries (4); Khalux (4); Tarik (3); Brusjean (3); Amaranth (3); Katon (3); Narcis (3); Amande (2); Thorck (2); Elimar (2); Francislake (2); Jago (2); Luinil (2)
Ellendal,14,157,2005,2007,2,Cathein (5); Galamir (5); Areion (4); Arentor (4); Czarick (4); Ghilbli (4); Maraviglia (4); Evander (3); Nathan (3); Gawyn (3); Goliath (3); Gwayne (3); Seth (3); Isthar (2); ThamiorLothain (2)
Ellenroh,36,510,2005,2008,4,Fate (9); Loriel (8); Francis (6); Merenwen (6); Asmira (6); Ascaron (6); merlinho (5); Malduin (5); Oltar (5); Sealyan (5); Midhriel (4); Loxis (4); Ratav (4); Tieryn (4); Carmin (4)
Elliot,4,43,2014,2014,0,Luinil (3); Karel (2); Katon (2); Essedil (2); Claymore (2); Kadrin (1); Skan (1); Khalux (1)
Elly,4,18,2007,2008,1,Growyn (2); Lenian (2); Arija (1); Giammy (1); Okrim (1); Seth (1); Vangum (1); Dhac (1); Skan (1)
Elmoen,1,12,2007,2007,2,Luthien (1); Maximilian (1)
Elric,1,4,2004,2004,8,Dennart (1); Drako (1); Edalet (1); Faragor (1); Kerberos (1); Razheem (1)
Elrik,49,642,2006,2012,2,Kushluk (14); Bill (11); Lyath (9); Goran (8); Jarl (7); Mogan (7); Lilithas (6); Isthar (5); Hamild (4); Oltar (4); Christof (4); Jerome (4); Maseeri (3); Zanner (3); Zaharil (3)
Elron,3,21,2009,2009,0,Arioch (3); Ailin (2); Dajemona (2); Karilh (1); Squixo (1); Danyel (1); Fortescue (1)
Elsah,5,49,2008,2008,1,Aranel (3); Blancks (3); Growyn (3); Dajemona (3); Areion (2); Ailin (1); Bauster (1); Catlyn (1); Dargen (1); merlinho (1); Skan (1); Ylerei (1); Isil (1); Nordus (1); Suite (1)
Elvaan,32,318,2023,2026,3,Lulu (19); Vahn (6); Bolvar (4); Arphenix (4); Sylvimar (4); Dajemona (2); Vein (2); Shyonia (2); Francislake (2); Adema (2); Ariel (2); Keleldur (2); Maseeri (2); Demios (1); merlinho (1)
Elwe,1,43,2006,2006,2,Adon (1); alucard (1); Anarion (1); Artax (1); Bauster (1); Bortek (1); Christof (1); Desdemona (1); Dominique (1); Enrick (1); Gwayne (1); Ishin (1); Jagor (1); Keleldur (1); Kelen (1)
Elwing,3,18,2006,2006,5,Anakin (3); Arhamir (3); Arphenix (3); Fibi (3); Fond (3); Janas (3); Langdal (3); merlinho (3); Midhriel (3); Riukkiu (3); Tersicore (3); Thantalas (3); Wizard (3)
Elwë,1,18,2004,2004,4,Anya (1); Artemisio (1); Drusius (1); Edgewood (1); Lenian (1); Ombra (1); Onizuka (1); Rhyannor (1); SiannaLeFair (1); Yanur (1)
Elyador,2,12,2007,2007,1,Lendrin (1); Seriadel (1); Ailin (1); Alcalime (1); Ambalar (1); Aranel (1); Geafried (1); Sapna (1); Tyrell (1); Yvaine (1)
Elyanth,28,359,2006,2012,1,Sifodias (10); Arphenix (7); Sylvimar (6); Ylerei (5); Ariel (5); Euridas (5); merlinho (5); Kiol (4); Desdemona (3); Silvereth (3); Mirael (3); Kushluk (3); Asgard (2); Carmin (2); Loriel (2)
Elyas,2,11,2006,2007,1,Elrik (1); Izayoi (1); Kushluk (1); Oltar (1); Bembo (1); Esthel (1)
Elyen,29,238,2009,2020,0,Khalux (7); Sibir (6); Fek (4); Arioch (4); Dareon (4); Elimar (4); Mynoth (4); Thorck (3); Jago (3); Ramel (3); Theon (3); Mendar (3); Laurens (3); Thalion (3); Erebo (3)
Elyer,4,42,2008,2008,2,Fortescue (2); Elariell (2); Fagin (2); Khael (2); Lyghemar (2); Mardok (2); Thomas (2); Dajemona (1); Heremidas (1); Skan (1); Alcalime (1); Loxis (1); Makarius (1)
Elyin,2,2,2008,2008,1,Lianer (1); Skan (1); Celine (1); Emhir (1); Habel (1)
Emelaine,3,49,2006,2007,6,Aouda (2); Ariel (2); Arwin (2); Ervine (2); merlinho (2); Yuman (2); Zingrid (2); Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Arthas (1); Deving (1); Galadriell (1); Ifrid (1)
Emeldir,1,1,2004,2004,3,Gator (1); Mothgaur (1); Vahn (1)
Emeth,8,65,2011,2014,0,Edwar (2); Kruvenz (2); Elimar (2); Thorck (2); Liniol (1); Maynard (1); Aisha (1); Corwin (1); Dadox (1); Izayoi (1); Jan (1); Thalion (1); Alexiel (1); Kazuya (1); Lenian (1)
Emhir,4,37,2008,2009,2,Dareon (2); Heleg (2); Maximilian (2); Aisha (1); Anarion (1); Asia (1); Azhal (1); Clery (1); Celine (1); Elyin (1); Habel (1); Thorck (1); Ghilbli (1); Kyle (1); Seyfer (1)
Emile,17,116,2007,2009,0,Lancel (8); Monfort (6); Bauster (5); Thorck (5); merlinho (4); Tyrion (4); Eventine (4); Nadir (3); Malvenis (3); Ramel (3); Theon (3); Axia (2); Fortescue (2); Tony (2); Zanner (2)
Emyride,5,21,2006,2007,1,Desdemona (2); Gudegar (2); Silvereth (2); Earenya (1); Tatoz (1); Carmin (1); Dehro (1); Francis (1); Helen (1); Sultha (1); Tyrus (1); Wonderela (1); Ambra (1); Blancks (1); Eriador (1)
Enarius,2,19,2004,2004,4,Dibbe (2); Jeff (2); Kiol (2); Laurent (2); Mendar (2); Miroth (2); Raistlin (2)
Enrick,35,394,2005,2020,2,Nicodemus (8); Bauster (7); Rivka (6); Seyfer (5); Desdemona (4); Moradin (4); Rhen (4); Marneus (4); Vahn (3); Gwayne (3); Arioch (3); Zanner (3); Anarion (3); Keleldur (3); Vholth (3)
Enrok,1,12,,,2,Daarigraz (1); Darken (1); Devolt (1); Enrick (1); Galamir (1); Nordus (1); Qastekh (1); Seyfer (1)
Enryn,1,8,2009,2009,11,Roun (1)
Eorinan,9,46,2004,2007,4,Malduin (9); Loki (7); Wiliand (5); Cloud (4); Eithel (4); Midhriel (4); Ella (3); Eyona (3); GaretJax (3); Imrahil (3); Loke (3); Ayla (3); Morganas (3); Rhyannor (3); Alastor (2)
Ephiny,1,10,2009,2009,0,Helajartie (1); Keleldur (1); Vladimir (1)
Erandir,1,17,2007,2007,5,Callisto (1); Gaizen (1)
Ercoca,1,6,2007,2007,1,Ago (1); Arkhemos (1); Baltor (1); Bea (1); deargh (1); Dofa (1); Ellenroh (1); Eufrasia (1); Genji (1); Gudegar (1); Han (1); Lieeru (1); Loxis (1); Rost (1); Tersicore (1)
Erebo,13,109,2013,2014,0,Khalux (5); Elyen (3); Laurens (3); Sibir (3); Tarik (3); Deniels (2); Lionel (2); Mynoth (2); Thalion (2); Thorren (2); Olkathazar (2); Vahn (2); Arioch (2); Elimar (2); Abdulaziim (2)
Erhu,1,12,2004,2004,3,Anarion (1); Dakkon (1); DartWarren (1); FireStorm (1); Mashnara (1); Miticus (1); Mitsui (1); Soraya (1); Vahn (1); Xalira (1)
Eriador,1,1,2007,2007,1,Ambra (1); Blancks (1); Emyride (1); Ferarius (1); Nightbreeze (1); Rhoan (1); Rost (1); Sahra (1)
Erialundur,1,8,2006,2006,2,Ayden (1); Jarl (1); Mekylius (1)
Erion,2,6,2006,2006,5,Anirion (2); Clery (2); Dalila (2); Helen (2); Jas (2); merlinho (2)
